idx,query_id,gt_id,type,gt_type,type_mismatch,degree,degree_bin,baseline_correct,cdmr_correct,group,baseline_rank,cdmr_rank,baseline_ret1,cdmr_ret1,baseline_img,baseline_attr,baseline_rel,baseline_graph,cdmr_img,cdmr_attr,cdmr_rel,cdmr_graph,delta_img,delta_attr,delta_rel,delta_graph
0,2984,16550,Place,Place,False,310.0,high_degree,True,True,both_correct,0,0,16550,16550,0.2534799575805664,0.23856927454471588,0.2508501410484314,0.2571006417274475,0.1687629073858261,0.21072633564472198,0.24927136301994324,0.3712393641471863,-0.0847170501947403,-0.027842938899993896,-0.0015787780284881592,0.11413872241973877
1,3463,15175,Person,Person,False,116.0,high_degree,True,True,both_correct,0,0,15175,15175,0.27180367708206177,0.29257017374038696,0.15142518281936646,0.2842009961605072,0.19880612194538116,0.33461350202560425,0.11020850390195847,0.35637184977531433,-0.0729975551366806,0.042043328285217285,-0.04121667891740799,0.07217085361480713
2,5734,24251,Creative Work,Creative Work,False,40.0,mid_degree,True,True,both_correct,0,0,24251,24251,0.2830735445022583,0.2740740478038788,0.162432000041008,0.2804203927516937,0.17367124557495117,0.2793770134449005,0.11590385437011719,0.43104782700538635,-0.10940229892730713,0.0053029656410217285,-0.04652814567089081,0.15062743425369263
3,5418,22470,Person,Person,False,58.0,mid_degree,True,True,both_correct,0,0,22470,22470,0.2480292022228241,0.2508268356323242,0.2523884177207947,0.2487555593252182,0.18817231059074402,0.29764997959136963,0.1906002014875412,0.32357749342918396,-0.05985689163208008,0.04682314395904541,-0.06178821623325348,0.07482193410396576
4,12065,23765,Person,Person,False,39.0,mid_degree,True,True,both_correct,0,0,23765,23765,0.26102906465530396,0.2762303948402405,0.20212996006011963,0.26061058044433594,0.19466130435466766,0.3221333622932434,0.15000256896018982,0.3332027494907379,-0.06636776030063629,0.04590296745300293,-0.05212739109992981,0.07259216904640198
5,5704,16728,Entity,Entity,False,26.0,low_degree,True,True,both_correct,0,0,16728,16728,0.3425639271736145,0.1809464544057846,0.14595015347003937,0.33053943514823914,0.3425639569759369,0.1809464395046234,0.14595015347003937,0.33053943514823914,2.9802322387695312e-08,-1.4901161193847656e-08,0.0,0.0
6,1691,22013,Person,Person,False,190.0,high_degree,True,True,both_correct,0,0,22013,22013,0.2785334289073944,0.3026024401187897,0.1471644788980484,0.2716996669769287,0.20422247052192688,0.3469013273715973,0.1073593720793724,0.3415168523788452,-0.07431095838546753,0.04429888725280762,-0.039805106818675995,0.0698171854019165
7,7093,26520,Person,Person,False,31.0,low_degree,True,True,both_correct,0,0,26520,26520,0.2728116810321808,0.2883966267108917,0.15855348110198975,0.28023821115493774,0.2003110945224762,0.33109554648399353,0.11583571881055832,0.35275766253471375,-0.07250058650970459,0.04269891977310181,-0.04271776229143143,0.072519451379776
8,2159,24215,Person,Person,False,89.0,high_degree,True,True,both_correct,0,0,24215,24215,0.2761003375053406,0.29515540599823,0.15497656166553497,0.27376773953437805,0.2028449922800064,0.3390539884567261,0.11328896135091782,0.3448120951652527,-0.07325534522533417,0.043898582458496094,-0.04168760031461716,0.07104435563087463
9,6635,27234,Person,Person,False,23.0,low_degree,True,True,both_correct,0,0,27234,27234,0.269308865070343,0.2923872470855713,0.1651555597782135,0.2731483578681946,0.1981521099805832,0.33638685941696167,0.12091416865587234,0.344546914100647,-0.07115675508975983,0.04399961233139038,-0.044241391122341156,0.07139855623245239
10,9778,20478,Place,Place,False,13.0,low_degree,True,True,both_correct,0,0,20478,20478,0.27561673521995544,0.24915960431098938,0.18557527661323547,0.2896483540534973,0.182368665933609,0.21874499320983887,0.18328741192817688,0.41559895873069763,-0.09324806928634644,-0.030414611101150513,-0.0022878646850585938,0.12595060467720032
11,11713,16999,Entity,Entity,False,16.0,low_degree,True,True,both_correct,0,0,16999,16999,0.32230332493782043,0.1870550513267517,0.17037861049175262,0.3202630579471588,0.32230329513549805,0.1870550513267517,0.17037861049175262,0.3202630579471588,-2.9802322387695312e-08,0.0,0.0,0.0
12,1458,19894,Person,Person,False,228.0,high_degree,True,True,both_correct,0,0,19894,19894,0.24782545864582062,0.25328120589256287,0.25057530403137207,0.24831798672676086,0.18785984814167023,0.3003082275390625,0.18906335532665253,0.32276850938796997,-0.05996561050415039,0.047027021646499634,-0.06151194870471954,0.0744505226612091
13,7441,25280,Organization,Organization,False,48.0,mid_degree,True,True,both_correct,0,0,25280,25280,0.28752627968788147,0.24184413254261017,0.16170869767665863,0.3089209198951721,0.21742799878120422,0.20828963816165924,0.13927479088306427,0.43500757217407227,-0.07009828090667725,-0.03355449438095093,-0.02243390679359436,0.12608665227890015
14,5025,22522,Organization,Organization,False,36.0,mid_degree,True,True,both_correct,0,0,22522,22522,0.2774246335029602,0.25037336349487305,0.18572448194026947,0.2864775061607361,0.21217118203639984,0.21808339655399323,0.16177473962306976,0.40797075629234314,-0.06525345146656036,-0.03228996694087982,-0.023949742317199707,0.12149325013160706
15,10921,17026,Person,Person,False,37.0,mid_degree,True,True,both_correct,0,0,17026,17026,0.2730570137500763,0.2816537022590637,0.17060339450836182,0.2746858596801758,0.2016553282737732,0.32521572709083557,0.12535667419433594,0.3477722406387329,-0.0714016854763031,0.04356202483177185,-0.04524672031402588,0.07308638095855713
16,9939,23066,Place,Organization,True,65.0,mid_degree,True,True,both_correct,0,0,23066,23066,0.29048413038253784,0.2588391900062561,0.15484215319156647,0.2958345115184784,0.19280359148979187,0.22797080874443054,0.15342307090759277,0.42580243945121765,-0.09768053889274597,-0.03086838126182556,-0.0014190822839736938,0.12996792793273926
17,12286,26124,Organization,Organization,False,9.0,low_degree,False,False,both_wrong,33,22,27698,27698,0.2870388627052307,0.2378116399049759,0.1610087901353836,0.3141407370567322,0.21643204987049103,0.20423829555511475,0.13828037679195404,0.4410492181777954,-0.07060681283473969,-0.033573344349861145,-0.022728413343429565,0.12690848112106323
18,5499,23258,Person,Person,False,81.0,high_degree,True,False,harmed,0,1,23258,19989,0.244963601231575,0.2579759657382965,0.2511845827102661,0.24587585031986237,0.18560059368610382,0.3056361973285675,0.18937471508979797,0.3193885385990143,-0.05936300754547119,0.047660231590270996,-0.06180986762046814,0.07351268827915192
19,9482,24718,Creative Work,Creative Work,False,38.0,mid_degree,False,False,both_wrong,1,1,27000,27000,0.27964213490486145,0.27375146746635437,0.15560878813266754,0.29099762439727783,0.17005443572998047,0.27656129002571106,0.11004550009965897,0.4433387815952301,-0.10958769917488098,0.0028098225593566895,-0.045563288033008575,0.15234115719795227
20,10804,23453,Place,Place,False,6.0,low_degree,False,True,rescued,4,0,22181,23453,0.2682209610939026,0.24798418581485748,0.19840864837169647,0.28538620471954346,0.17736394703388214,0.21756920218467712,0.19583305716514587,0.40923377871513367,-0.09085701406002045,-0.03041498363018036,-0.002575591206550598,0.12384757399559021
21,7492,20017,Person,Person,False,47.0,mid_degree,True,True,both_correct,0,0,20017,20017,0.2728785574436188,0.2922850251197815,0.15576277673244476,0.27907368540763855,0.20016241073608398,0.33521804213523865,0.11368103325366974,0.3509385585784912,-0.07271614670753479,0.04293301701545715,-0.042081743478775024,0.07186487317085266
22,13442,22346,Place,Place,False,8.0,low_degree,True,True,both_correct,0,0,22346,22346,0.26519086956977844,0.25905683636665344,0.19775427877902985,0.2779979407787323,0.17597685754299164,0.22809788584709167,0.19588634371757507,0.4000389277935028,-0.0892140120267868,-0.030958950519561768,-0.001867935061454773,0.12204098701477051
23,6424,20005,Organization,Organization,False,87.0,high_degree,True,True,both_correct,0,0,20005,20005,0.3111404478549957,0.23191210627555847,0.16051116585731506,0.29643628001213074,0.23748436570167542,0.20163442194461823,0.13955751061439514,0.42132365703582764,-0.07365608215332031,-0.030277684330940247,-0.020953655242919922,0.1248873770236969
24,2455,24779,Creative Work,Creative Work,False,90.0,high_degree,True,True,both_correct,0,0,24779,24779,0.3238977789878845,0.20088684558868408,0.14569981396198273,0.3295155465602875,0.19599004089832306,0.20194868743419647,0.10253020375967026,0.4995310604572296,-0.12790773808956146,0.0010618418455123901,-0.04316961020231247,0.17001551389694214
25,3959,25927,Event,Event,False,108.0,high_degree,False,False,both_wrong,2,5,26665,26665,0.29754653573036194,0.24723024666309357,0.14838890731334686,0.30683434009552,0.29819396138191223,0.2462770789861679,0.14781776070594788,0.3077111840248108,0.000647425651550293,-0.0009531676769256592,-0.0005711466073989868,0.0008768439292907715
26,4469,21798,Creative Work,Creative Work,False,60.0,mid_degree,True,True,both_correct,0,0,21798,21798,0.334525465965271,0.1956343799829483,0.14640329778194427,0.3234368562698364,0.2039671391248703,0.19816382229328156,0.10380858182907104,0.4940603971481323,-0.1305583268404007,0.002529442310333252,-0.04259471595287323,0.1706235408782959
27,7561,15506,Place,Place,False,30.0,low_degree,True,True,both_correct,0,0,15506,15506,0.2589981257915497,0.24851267039775848,0.22927923500537872,0.2632099986076355,0.1724579930305481,0.21957282721996307,0.22790126502513885,0.38006794452667236,-0.08654013276100159,-0.02893984317779541,-0.0013779699802398682,0.11685794591903687
28,5400,15086,Place,Place,False,36.0,mid_degree,True,True,both_correct,0,0,15086,15086,0.27767929434776306,0.2640226483345032,0.182846337556839,0.2754517197608948,0.1853434294462204,0.23380272090435028,0.18215735256671906,0.3986964821815491,-0.09233586490154266,-0.030219927430152893,-0.0006889849901199341,0.1232447624206543
29,3498,19922,Person,Person,False,57.0,mid_degree,True,True,both_correct,0,0,19922,19922,0.2712336778640747,0.29661664366722107,0.15122030675411224,0.28092941641807556,0.1983998417854309,0.3392491340637207,0.11006186902523041,0.35228922963142395,-0.0728338360786438,0.042632490396499634,-0.041158437728881836,0.07135981321334839
30,8620,21618,Person,Person,False,76.0,high_degree,True,True,both_correct,0,0,21618,21618,0.27110743522644043,0.29989051818847656,0.1520402878522873,0.2769617438316345,0.19845367968082428,0.34324243664741516,0.11073894798755646,0.3475649654865265,-0.07265375554561615,0.0433519184589386,-0.041301339864730835,0.07060322165489197
31,12654,18294,Place,Place,False,9.0,low_degree,True,True,both_correct,0,0,18294,18294,0.2817310094833374,0.26000508666038513,0.18047963082790375,0.2777842879295349,0.1880102902650833,0.23021356761455536,0.17977498471736908,0.40200111269950867,-0.09372071921825409,-0.029791519045829773,-0.000704646110534668,0.12421682476997375
32,7334,24540,Creative Work,Creative Work,False,56.0,mid_degree,False,True,rescued,1,0,20267,24540,0.3195600211620331,0.20140975713729858,0.1494622528553009,0.32956790924072266,0.1932472586631775,0.20233747363090515,0.10510677844285965,0.4993084669113159,-0.1263127624988556,0.0009277164936065674,-0.044355474412441254,0.16974055767059326
33,3099,16742,Organization,Organization,False,62.0,mid_degree,True,True,both_correct,0,0,16742,16742,0.29564908146858215,0.25488048791885376,0.15085875988006592,0.29861170053482056,0.22503136098384857,0.22097085416316986,0.13079038262367249,0.4232073426246643,-0.07061772048473358,-0.0339096337556839,-0.020068377256393433,0.12459564208984375
34,5586,15987,Person,Person,False,52.0,mid_degree,True,True,both_correct,0,0,15987,15987,0.2786983549594879,0.28704702854156494,0.15858478844165802,0.27566981315612793,0.20524786412715912,0.3305066227912903,0.11619635671377182,0.348049134016037,-0.0734504908323288,0.04345959424972534,-0.0423884317278862,0.07237932085990906
35,3020,25477,Organization,Organization,False,32.0,low_degree,True,True,both_correct,0,0,25477,25477,0.29032444953918457,0.25219956040382385,0.16244208812713623,0.29503393173217773,0.22129252552986145,0.21893827617168427,0.1410207450389862,0.41874849796295166,-0.06903192400932312,-0.03326128423213959,-0.021421343088150024,0.12371456623077393
36,2417,20138,Person,Person,False,31.0,low_degree,True,True,both_correct,0,0,20138,20138,0.2744511067867279,0.28916358947753906,0.16217578947544098,0.27420949935913086,0.2020902782678604,0.3329337537288666,0.11882390826940536,0.34615206718444824,-0.07236082851886749,0.043770164251327515,-0.043351881206035614,0.07194256782531738
37,865,27067,Organization,Organization,False,27.0,low_degree,False,False,both_wrong,30,36,24477,24698,0.28760117292404175,0.24908068776130676,0.18150851130485535,0.28180962800979614,0.22075890004634857,0.21776477992534637,0.15869073569774628,0.4027855396270752,-0.06684227287769318,-0.03131590783596039,-0.02281777560710907,0.12097591161727905
38,3394,26969,Creative Work,Creative Work,False,144.0,high_degree,True,True,both_correct,0,0,26969,26969,0.3375939130783081,0.191632941365242,0.14265403151512146,0.32811909914016724,0.20535634458065033,0.19366756081581116,0.10091928392648697,0.500056803226471,-0.13223756849765778,0.002034619450569153,-0.04173474758863449,0.1719377040863037
39,7890,15439,Entity,Entity,False,19.0,low_degree,True,True,both_correct,0,0,15439,15439,0.31377607583999634,0.20449385046958923,0.16516366600990295,0.31656643748283386,0.31377604603767395,0.20449388027191162,0.16516365110874176,0.3165664076805115,-2.9802322387695312e-08,2.9802322387695312e-08,-1.4901161193847656e-08,-2.9802322387695312e-08
40,13734,20569,Person,Person,False,50.0,mid_degree,False,True,rescued,4,0,25629,20569,0.26799851655960083,0.2842697203159332,0.16920392215251923,0.27852779626846313,0.1972964107990265,0.3272269666194916,0.12394597381353378,0.35153064131736755,-0.07070210576057434,0.04295724630355835,-0.04525794833898544,0.07300284504890442
