[DATA] lang=zh_en shard=4/8 candidates=1865 all_entity_candidates=14920
[DATA] loaded attrs=1083 rels=1865
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 103.69it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1865] id=46 -> Entity conf=0.90
[2/1865] id=130 -> Organization conf=0.90
[3/1865] id=186 -> Entity conf=0.90
[4/1865] id=233 -> Person conf=0.90
[5/1865] id=299 -> Entity conf=0.80
[6/1865] id=393 -> Entity conf=0.80
[7/1865] id=456 -> Entity conf=0.90
[8/1865] id=569 -> Entity conf=1.00
[9/1865] id=607 -> Entity conf=0.80
[10/1865] id=657 -> Organization conf=0.90
[11/1865] id=777 -> Organization conf=0.90
[12/1865] id=851 -> Entity conf=0.80
[13/1865] id=898 -> Creative Work conf=0.80
[14/1865] id=1009 -> Entity conf=0.90
[15/1865] id=1089 -> Event conf=0.90
[16/1865] id=1160 -> Entity conf=0.90
[17/1865] id=1219 -> Entity conf=0.80
[18/1865] id=1302 -> Organization conf=0.90
[19/1865] id=1392 -> Entity conf=0.80
[20/1865] id=1464 -> Entity conf=0.80
[21/1865] id=1574 -> Entity conf=0.90
[22/1865] id=1670 -> Creative Work conf=0.90
[23/1865] id=1774 -> Entity conf=0.90
[24/1865] id=1887 -> Organization conf=0.80
[25/1865] id=1955 -> Entity conf=0.90
[26/1865] id=2097 -> Entity conf=0.90
[27/1865] id=2163 -> Entity conf=1.00
[28/1865] id=2248 -> Person conf=0.90
[29/1865] id=2341 -> Entity conf=0.80
[30/1865] id=2419 -> Entity conf=1.00
[31/1865] id=2468 -> Entity conf=0.90
[32/1865] id=2587 -> Entity conf=0.90
[33/1865] id=2729 -> Entity conf=1.00
[34/1865] id=2880 -> Entity conf=0.80
[35/1865] id=2967 -> Organization conf=0.90
[36/1865] id=3031 -> Organization conf=0.90
[37/1865] id=3126 -> Entity conf=0.90
[38/1865] id=3200 -> Entity conf=0.90
[39/1865] id=3276 -> Entity conf=0.80
[40/1865] id=3342 -> Entity conf=0.90
[41/1865] id=3432 -> Entity conf=0.80
[42/1865] id=3481 -> Entity conf=0.80
[43/1865] id=3536 -> Entity conf=0.90
[44/1865] id=3611 -> Creative Work conf=0.90
[45/1865] id=3706 -> Entity conf=0.80
[46/1865] id=3786 -> Organization conf=0.80
[47/1865] id=3848 -> Person conf=0.90
[48/1865] id=3924 -> Event conf=0.90
[49/1865] id=3966 -> Organization conf=0.90
[50/1865] id=3993 -> Person conf=0.90
[51/1865] id=4036 -> Entity conf=0.90
[52/1865] id=4073 -> Entity conf=0.90
[53/1865] id=4124 -> Person conf=0.90
[54/1865] id=4153 -> Person conf=0.90
[55/1865] id=4183 -> Person conf=0.90
[56/1865] id=4207 -> Person conf=0.90
[57/1865] id=4239 -> Organization conf=0.90
[58/1865] id=4261 -> Entity conf=1.00
[59/1865] id=4279 -> Event conf=0.80
[60/1865] id=4298 -> Organization conf=0.90
[61/1865] id=4326 -> Person conf=0.90
[62/1865] id=4358 -> Organization conf=0.90
[63/1865] id=4413 -> Entity conf=0.90
[64/1865] id=4439 -> Organization conf=0.90
[65/1865] id=4468 -> Person conf=0.90
[66/1865] id=4513 -> Organization conf=0.90
[67/1865] id=4538 -> Entity conf=0.90
[68/1865] id=4563 -> Person conf=0.90
[69/1865] id=4594 -> Entity conf=0.90
[70/1865] id=4618 -> Organization conf=0.90
[71/1865] id=4650 -> Entity conf=0.90
[72/1865] id=4682 -> Entity conf=0.90
[73/1865] id=4723 -> Person conf=0.90
[74/1865] id=4750 -> Entity conf=0.90
[75/1865] id=4775 -> Place conf=0.90
[76/1865] id=4811 -> Person conf=0.90
[77/1865] id=4846 -> Person conf=0.90
[78/1865] id=4875 -> Person conf=0.90
[79/1865] id=4900 -> Person conf=0.90
[80/1865] id=4926 -> Person conf=0.90
[81/1865] id=4958 -> Event conf=0.90
[82/1865] id=4993 -> Entity conf=0.90
[83/1865] id=5036 -> Person conf=0.90
[84/1865] id=5068 -> Person conf=0.90
[85/1865] id=5103 -> Event conf=0.90
[86/1865] id=5131 -> Person conf=0.90
[87/1865] id=5177 -> Person conf=0.90
[88/1865] id=5191 -> Person conf=0.90
[89/1865] id=5219 -> Person conf=0.90
[90/1865] id=5256 -> Entity conf=0.90
[91/1865] id=5282 -> Entity conf=0.90
[92/1865] id=5305 -> Organization conf=0.90
[93/1865] id=5327 -> Entity conf=0.90
[94/1865] id=5361 -> Person conf=0.90
[95/1865] id=5376 -> Organization conf=0.90
[96/1865] id=5412 -> Entity conf=0.90
[97/1865] id=5440 -> Place conf=0.90
[98/1865] id=5459 -> Organization conf=0.90
[99/1865] id=5494 -> Organization conf=0.90
[100/1865] id=5514 -> Organization conf=0.90
[101/1865] id=5538 -> Person conf=0.90
[102/1865] id=5559 -> Place conf=0.90
[103/1865] id=5592 -> Person conf=0.90
[104/1865] id=5614 -> Entity conf=0.90
[105/1865] id=5635 -> Person conf=0.90
[106/1865] id=5670 -> Person conf=0.90
[107/1865] id=5687 -> Entity conf=0.90
[108/1865] id=5722 -> Entity conf=0.90
[109/1865] id=5747 -> Entity conf=0.80
[110/1865] id=5787 -> Person conf=0.90
[111/1865] id=5821 -> Entity conf=0.90
[112/1865] id=5852 -> Entity conf=0.90
[113/1865] id=5894 -> Person conf=0.90
[114/1865] id=5916 -> Entity conf=1.00
[115/1865] id=5931 -> Entity conf=1.00
[116/1865] id=5944 -> Entity conf=0.80
[117/1865] id=5981 -> Entity conf=0.90
[118/1865] id=6013 -> Place conf=0.90
[119/1865] id=6052 -> Entity conf=0.90
[120/1865] id=6076 -> Entity conf=0.90
[121/1865] id=6127 -> Person conf=0.90
[122/1865] id=6175 -> Person conf=0.90
[123/1865] id=6201 -> Person conf=0.90
[124/1865] id=6230 -> Organization conf=0.90
[125/1865] id=6265 -> Place conf=0.90
[126/1865] id=6295 -> Entity conf=0.80
[127/1865] id=6335 -> Person conf=0.90
[128/1865] id=6366 -> Place conf=0.90
[129/1865] id=6387 -> Person conf=0.90
[130/1865] id=6400 -> Creative Work conf=0.80
[131/1865] id=6424 -> Entity conf=1.00
[132/1865] id=6455 -> Person conf=0.90
[133/1865] id=6489 -> Person conf=0.90
[134/1865] id=6508 -> Entity conf=0.90
[135/1865] id=6558 -> Organization conf=0.90
[136/1865] id=6595 -> Place conf=0.90
[137/1865] id=6637 -> Place conf=0.90
[138/1865] id=6686 -> Person conf=0.90
[139/1865] id=6708 -> Place conf=0.90
[140/1865] id=6730 -> Person conf=0.90
[141/1865] id=6761 -> Place conf=0.90
[142/1865] id=6782 -> Organization conf=0.90
[143/1865] id=6820 -> Person conf=0.90
[144/1865] id=6850 -> Person conf=0.90
[145/1865] id=6878 -> Person conf=0.90
[146/1865] id=6901 -> Person conf=0.90
[147/1865] id=6928 -> Person conf=0.90
[148/1865] id=6966 -> Entity conf=0.90
[149/1865] id=6987 -> Person conf=0.90
[150/1865] id=7022 -> Person conf=0.90
[151/1865] id=7051 -> Organization conf=0.90
[152/1865] id=7072 -> Person conf=0.90
[153/1865] id=7116 -> Event conf=0.90
[154/1865] id=7137 -> Person conf=0.90
[155/1865] id=7164 -> Person conf=0.90
[156/1865] id=7189 -> Creative Work conf=0.90
[157/1865] id=7223 -> Creative Work conf=0.80
[158/1865] id=7254 -> Entity conf=0.90
[159/1865] id=7290 -> Entity conf=0.80
[160/1865] id=7305 -> Entity conf=0.90
[161/1865] id=7322 -> Entity conf=0.90
[162/1865] id=7355 -> Place conf=0.90
[163/1865] id=7388 -> Organization conf=0.90
[164/1865] id=7424 -> Entity conf=0.90
[165/1865] id=7450 -> Place conf=0.90
[166/1865] id=7465 -> Person conf=0.80
[167/1865] id=7498 -> Entity conf=0.90
[168/1865] id=7523 -> Person conf=0.90
[169/1865] id=7548 -> Person conf=0.90
[170/1865] id=7590 -> Event conf=0.90
[171/1865] id=7617 -> Person conf=0.90
[172/1865] id=7644 -> Person conf=0.90
[173/1865] id=7677 -> Creative Work conf=0.90
[174/1865] id=7711 -> Entity conf=0.90
[175/1865] id=7740 -> Entity conf=0.90
[176/1865] id=7771 -> Person conf=0.90
[177/1865] id=7792 -> Entity conf=0.90
[178/1865] id=7824 -> Entity conf=0.90
[179/1865] id=7869 -> Person conf=0.90
[180/1865] id=7901 -> Place conf=0.90
[181/1865] id=7922 -> Place conf=0.90
[182/1865] id=7956 -> Entity conf=1.00
[183/1865] id=7996 -> Organization conf=0.90
[184/1865] id=8015 -> Entity conf=0.90
[185/1865] id=8040 -> Entity conf=0.90
[186/1865] id=8063 -> Person conf=0.90
[187/1865] id=8086 -> Place conf=0.90
[188/1865] id=8118 -> Place conf=0.90
[189/1865] id=8157 -> Place conf=0.90
[190/1865] id=8189 -> Person conf=0.90
[191/1865] id=8224 -> Creative Work conf=0.90
[192/1865] id=8255 -> Entity conf=0.90
[193/1865] id=8287 -> Entity conf=0.90
[194/1865] id=8306 -> Person conf=0.90
[195/1865] id=8334 -> Organization conf=0.90
[196/1865] id=8368 -> Organization conf=0.90
[197/1865] id=8403 -> Organization conf=0.90
[198/1865] id=8429 -> Person conf=0.90
[199/1865] id=8456 -> Person conf=0.90
[200/1865] id=8490 -> Person conf=0.90
[201/1865] id=8526 -> Entity conf=0.90
