[DATA] lang=ja_en shard=5/8 candidates=1595 all_entity_candidates=12765
[DATA] loaded attrs=844 rels=1595
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 104.01it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1595] id=53 -> Creative Work conf=0.80
[2/1595] id=93 -> Person conf=0.90
[3/1595] id=147 -> Entity conf=0.90
[4/1595] id=206 -> Creative Work conf=0.90
[5/1595] id=354 -> Entity conf=1.00
[6/1595] id=426 -> Entity conf=0.80
[7/1595] id=508 -> Entity conf=0.80
[8/1595] id=597 -> Entity conf=0.90
[9/1595] id=702 -> Creative Work conf=0.80
[10/1595] id=775 -> Entity conf=0.90
[11/1595] id=853 -> Entity conf=0.80
[12/1595] id=1004 -> Organization conf=0.90
[13/1595] id=1069 -> Organization conf=0.90
[14/1595] id=1103 -> Entity conf=0.80
[15/1595] id=1212 -> Entity conf=0.90
[16/1595] id=1295 -> Entity conf=0.80
[17/1595] id=1342 -> Entity conf=0.90
[18/1595] id=1445 -> Entity conf=0.80
[19/1595] id=1517 -> Entity conf=0.90
[20/1595] id=1603 -> Entity conf=0.90
[21/1595] id=1657 -> Entity conf=0.90
[22/1595] id=1753 -> Entity conf=1.00
[23/1595] id=1830 -> Creative Work conf=0.90
[24/1595] id=1904 -> Creative Work conf=0.90
[25/1595] id=1984 -> Person conf=0.90
[26/1595] id=2061 -> Entity conf=0.90
[27/1595] id=2154 -> Organization conf=0.90
[28/1595] id=2279 -> Entity conf=0.80
[29/1595] id=2347 -> Entity conf=0.90
[30/1595] id=2440 -> Entity conf=0.80
[31/1595] id=2538 -> Organization conf=0.80
[32/1595] id=2588 -> Creative Work conf=0.90
[33/1595] id=2695 -> Entity conf=0.90
[34/1595] id=2751 -> Entity conf=0.90
[35/1595] id=2868 -> Organization conf=0.90
[36/1595] id=2947 -> Place conf=0.90
[37/1595] id=2985 -> Entity conf=0.80
[38/1595] id=3068 -> Event conf=0.90
[39/1595] id=3130 -> Entity conf=0.90
[40/1595] id=3189 -> Event conf=0.90
[41/1595] id=3253 -> Entity conf=0.90
[42/1595] id=3351 -> Creative Work conf=0.90
[43/1595] id=3470 -> Entity conf=0.90
[44/1595] id=3543 -> Entity conf=0.90
[45/1595] id=3639 -> Entity conf=0.80
[46/1595] id=3677 -> Entity conf=0.90
[47/1595] id=3742 -> Entity conf=0.90
[48/1595] id=3863 -> Entity conf=0.90
[49/1595] id=3953 -> Organization conf=0.90
[50/1595] id=4043 -> Person conf=0.90
[51/1595] id=4101 -> Entity conf=0.80
[52/1595] id=4204 -> Place conf=0.90
[53/1595] id=4334 -> Person conf=0.90
[54/1595] id=4360 -> Person conf=0.90
[55/1595] id=4403 -> Organization conf=0.80
[56/1595] id=4442 -> Person conf=0.90
[57/1595] id=4494 -> Entity conf=0.80
[58/1595] id=4557 -> Person conf=0.90
[59/1595] id=4621 -> Person conf=0.90
[60/1595] id=4693 -> Person conf=0.90
[61/1595] id=4727 -> Creative Work conf=0.90
[62/1595] id=4761 -> Entity conf=0.80
[63/1595] id=4813 -> Entity conf=0.90
[64/1595] id=4855 -> Entity conf=0.80
[65/1595] id=4941 -> Entity conf=0.90
[66/1595] id=4989 -> Entity conf=1.00
[67/1595] id=5043 -> Event conf=0.90
[68/1595] id=5084 -> Entity conf=0.80
[69/1595] id=5115 -> Entity conf=0.90
[70/1595] id=5156 -> Person conf=0.90
[71/1595] id=5193 -> Entity conf=0.90
[72/1595] id=5246 -> Person conf=0.90
[73/1595] id=5291 -> Entity conf=0.90
[74/1595] id=5355 -> Person conf=0.90
[75/1595] id=5400 -> Entity conf=0.80
[76/1595] id=5438 -> Entity conf=0.80
[77/1595] id=5490 -> Person conf=0.90
[78/1595] id=5548 -> Entity conf=0.90
[79/1595] id=5591 -> Place conf=0.90
[80/1595] id=5632 -> Entity conf=0.90
[81/1595] id=5698 -> Event conf=0.90
[82/1595] id=5743 -> Person conf=0.90
[83/1595] id=5800 -> Organization conf=0.90
[84/1595] id=5878 -> Entity conf=0.90
[85/1595] id=5918 -> Entity conf=0.90
[86/1595] id=5974 -> Organization conf=0.90
[87/1595] id=6035 -> Person conf=0.90
[88/1595] id=6089 -> Person conf=0.90
[89/1595] id=6170 -> Person conf=0.90
[90/1595] id=6230 -> Entity conf=1.00
[91/1595] id=6310 -> Person conf=0.90
[92/1595] id=6349 -> Person conf=0.90
[93/1595] id=6399 -> Event conf=0.80
[94/1595] id=6454 -> Entity conf=0.90
[95/1595] id=6497 -> Person conf=0.80
[96/1595] id=6526 -> Organization conf=0.90
[97/1595] id=6556 -> Person conf=0.90
[98/1595] id=6611 -> Organization conf=0.90
[99/1595] id=6669 -> Entity conf=0.90
[100/1595] id=6744 -> Entity conf=0.90
[101/1595] id=6780 -> Person conf=0.90
[102/1595] id=6882 -> Entity conf=0.90
[103/1595] id=6920 -> Person conf=0.90
[104/1595] id=6959 -> Entity conf=0.80
[105/1595] id=6989 -> Entity conf=0.80
[106/1595] id=7007 -> Entity conf=0.90
[107/1595] id=7073 -> Entity conf=0.90
[108/1595] id=7141 -> Entity conf=0.90
[109/1595] id=7191 -> Entity conf=0.90
[110/1595] id=7234 -> Person conf=0.90
[111/1595] id=7264 -> Organization conf=0.90
[112/1595] id=7316 -> Person conf=0.90
[113/1595] id=7339 -> Person conf=0.90
[114/1595] id=7386 -> Person conf=0.90
[115/1595] id=7432 -> Person conf=0.80
[116/1595] id=7496 -> Creative Work conf=0.90
[117/1595] id=7564 -> Person conf=0.90
[118/1595] id=7614 -> Place conf=0.90
[119/1595] id=7647 -> Entity conf=0.90
[120/1595] id=7695 -> Person conf=0.90
[121/1595] id=7735 -> Entity conf=0.90
[122/1595] id=7797 -> Entity conf=0.80
[123/1595] id=7837 -> Person conf=0.90
[124/1595] id=7875 -> Organization conf=0.90
[125/1595] id=7927 -> Entity conf=0.90
[126/1595] id=7995 -> Entity conf=0.90
[127/1595] id=8056 -> Entity conf=0.90
[128/1595] id=8094 -> Entity conf=0.90
[129/1595] id=8124 -> Organization conf=0.90
[130/1595] id=8174 -> Entity conf=1.00
[131/1595] id=8234 -> Person conf=0.90
[132/1595] id=8261 -> Entity conf=0.90
[133/1595] id=8324 -> Entity conf=0.90
[134/1595] id=8369 -> Entity conf=0.90
[135/1595] id=8399 -> Event conf=0.90
[136/1595] id=8472 -> Person conf=0.90
[137/1595] id=8519 -> Place conf=0.90
[138/1595] id=8561 -> Place conf=0.90
[139/1595] id=8600 -> Organization conf=0.90
[140/1595] id=8670 -> Person conf=0.90
[141/1595] id=8706 -> Entity conf=0.90
[142/1595] id=8749 -> Entity conf=0.90
[143/1595] id=8788 -> Entity conf=0.90
[144/1595] id=8854 -> Organization conf=0.90
[145/1595] id=8903 -> Person conf=0.80
[146/1595] id=8943 -> Organization conf=0.80
[147/1595] id=8994 -> Entity conf=0.80
[148/1595] id=9037 -> Creative Work conf=0.90
[149/1595] id=9072 -> Organization conf=0.90
[150/1595] id=9117 -> Entity conf=0.90
[151/1595] id=9184 -> Person conf=0.90
[152/1595] id=9257 -> Entity conf=1.00
[153/1595] id=9319 -> Entity conf=0.90
[154/1595] id=9368 -> Entity conf=0.90
[155/1595] id=9396 -> Entity conf=1.00
[156/1595] id=9449 -> Person conf=0.90
[157/1595] id=9500 -> Entity conf=0.80
