[DATA] lang=ja_en shard=3/8 candidates=1596 all_entity_candidates=12765
[DATA] loaded attrs=845 rels=1596
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 106.55it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1596] id=49 -> Entity conf=0.80
[2/1596] id=77 -> Entity conf=1.00
[3/1596] id=126 -> Entity conf=0.90
[4/1596] id=185 -> Entity conf=0.80
[5/1596] id=325 -> Entity conf=0.90
[6/1596] id=399 -> Entity conf=0.80
[7/1596] id=499 -> Organization conf=0.80
[8/1596] id=575 -> Entity conf=0.90
[9/1596] id=672 -> Entity conf=0.90
[10/1596] id=753 -> Entity conf=0.90
[11/1596] id=816 -> Entity conf=0.80
[12/1596] id=975 -> Entity conf=0.90
[13/1596] id=1047 -> Entity conf=0.90
[14/1596] id=1098 -> Place conf=0.90
[15/1596] id=1191 -> Entity conf=1.00
[16/1596] id=1281 -> Entity conf=0.90
[17/1596] id=1334 -> Entity conf=0.90
[18/1596] id=1396 -> Event conf=0.80
[19/1596] id=1487 -> Person conf=0.90
[20/1596] id=1587 -> Entity conf=0.80
[21/1596] id=1650 -> Entity conf=0.80
[22/1596] id=1693 -> Entity conf=0.80
[23/1596] id=1812 -> Organization conf=0.90
[24/1596] id=1895 -> Entity conf=0.90
[25/1596] id=1975 -> Entity conf=1.00
[26/1596] id=2051 -> Person conf=0.90
[27/1596] id=2139 -> Organization conf=0.90
[28/1596] id=2250 -> Entity conf=0.90
[29/1596] id=2345 -> Entity conf=0.90
[30/1596] id=2422 -> Creative Work conf=0.90
[31/1596] id=2504 -> Entity conf=0.90
[32/1596] id=2582 -> Entity conf=0.80
[33/1596] id=2678 -> Organization conf=0.90
[34/1596] id=2728 -> Organization conf=0.90
[35/1596] id=2828 -> Entity conf=0.90
[36/1596] id=2940 -> Entity conf=0.90
[37/1596] id=2976 -> Entity conf=0.80
[38/1596] id=3059 -> Entity conf=0.90
[39/1596] id=3108 -> Entity conf=0.90
[40/1596] id=3174 -> Creative Work conf=0.80
[41/1596] id=3239 -> Entity conf=0.90
[42/1596] id=3302 -> Entity conf=0.90
[43/1596] id=3457 -> Organization conf=0.90
[44/1596] id=3540 -> Creative Work conf=0.90
[45/1596] id=3614 -> Entity conf=0.90
[46/1596] id=3659 -> Entity conf=0.90
[47/1596] id=3732 -> Entity conf=0.90
[48/1596] id=3837 -> Entity conf=0.90
[49/1596] id=3935 -> Organization conf=0.90
[50/1596] id=3989 -> Entity conf=0.90
[51/1596] id=4088 -> Organization conf=0.90
[52/1596] id=4188 -> Entity conf=0.90
