[DATA] lang=ja_en shard=0/8 candidates=1596 all_entity_candidates=12765
[DATA] loaded attrs=845 rels=1596
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 92.08it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1596] id=12 -> Event conf=0.90
[2/1596] id=62 -> Entity conf=0.90
[3/1596] id=114 -> Person conf=0.90
[4/1596] id=172 -> Creative Work conf=0.90
[5/1596] id=254 -> Entity conf=0.90
[6/1596] id=362 -> Person conf=0.90
[7/1596] id=457 -> Entity conf=0.90
[8/1596] id=557 -> Place conf=0.90
[9/1596] id=650 -> Entity conf=0.90
[10/1596] id=715 -> Entity conf=0.90
[11/1596] id=790 -> Person conf=0.90
[12/1596] id=910 -> Event conf=0.90
[13/1596] id=1021 -> Event conf=0.90
[14/1596] id=1079 -> Entity conf=0.90
[15/1596] id=1167 -> Entity conf=0.90
[16/1596] id=1262 -> Place conf=0.90
[17/1596] id=1315 -> Event conf=0.90
[18/1596] id=1384 -> Organization conf=0.90
[19/1596] id=1460 -> Creative Work conf=0.90
[20/1596] id=1550 -> Entity conf=0.90
[21/1596] id=1635 -> Entity conf=0.90
[22/1596] id=1673 -> Entity conf=0.90
[23/1596] id=1778 -> Organization conf=0.90
[24/1596] id=1850 -> Creative Work conf=0.90
[25/1596] id=1948 -> Entity conf=0.90
[26/1596] id=2027 -> Place conf=0.90
[27/1596] id=2116 -> Entity conf=0.90
[28/1596] id=2191 -> Creative Work conf=0.90
[29/1596] id=2308 -> Entity conf=0.90
[30/1596] id=2397 -> Entity conf=0.90
[31/1596] id=2468 -> Entity conf=0.80
[32/1596] id=2552 -> Entity conf=0.90
[33/1596] id=2610 -> Entity conf=0.90
[34/1596] id=2710 -> Event conf=0.90
[35/1596] id=2772 -> Entity conf=0.90
[36/1596] id=2917 -> Person conf=0.90
[37/1596] id=2963 -> Entity conf=0.90
[38/1596] id=3006 -> Entity conf=0.90
[39/1596] id=3097 -> Event conf=0.90
[40/1596] id=3160 -> Person conf=0.90
[41/1596] id=3213 -> Entity conf=0.90
[42/1596] id=3276 -> Entity conf=0.90
[43/1596] id=3428 -> Entity conf=0.90
[44/1596] id=3533 -> Entity conf=0.90
[45/1596] id=3575 -> Entity conf=0.80
[46/1596] id=3649 -> Entity conf=1.00
[47/1596] id=3702 -> Entity conf=0.90
[48/1596] id=3797 -> Entity conf=0.90
[49/1596] id=3900 -> Place conf=0.90
[50/1596] id=3982 -> Organization conf=0.90
[51/1596] id=4061 -> Entity conf=0.90
[52/1596] id=4123 -> Entity conf=0.90
[53/1596] id=4241 -> Organization conf=0.90
